yyyymmdd,pool_code,race_no,wind
20211001,3,1,不明
20211001,3,2,不明
20211001,3,3,不明
20211001,3,4,不明
20211001,3,5,不明
20211001,3,6,不明
20211001,3,7,不明
20211001,3,8,不明
20211001,3,9,不明
20211001,3,10,不明
20211001,3,11,不明
20211001,3,12,不明
20211022,15,8,不明
20211022,15,9,不明
20211022,15,10,不明
20211022,15,11,不明
20211022,15,12,不明
20211023,1,6,不明
20211023,1,7,不明
20211023,1,8,不明
20211023,1,9,不明
20211023,1,10,不明
20211023,1,11,不明
20211023,1,12,不明
20211024,1,1,不明
20211024,1,2,不明
20211024,1,3,不明
20211024,1,4,不明
20211024,1,5,不明
20211024,1,6,不明
20211024,1,7,不明
20211024,1,8,不明
20211024,1,9,不明
20211024,1,10,不明
20211024,1,11,不明
20211024,1,12,不明
20211108,9,8,不明
20211108,9,9,不明
20211108,9,10,不明
20211108,9,11,不明
20211108,9,12,不明
20211201,9,1,不明
20211201,9,2,不明
20211201,9,3,不明
20211201,9,4,不明
20211201,9,5,不明
20211201,9,6,不明
20211201,9,7,不明
20211201,9,8,不明
20211201,9,9,不明
20211201,9,10,不明
20211201,9,11,不明
20211201,9,12,不明
20211201,15,1,不明
20211201,15,2,不明
20211201,15,3,不明
20211201,15,4,不明
20211201,15,5,不明
20211201,15,6,不明
20211201,15,7,不明
20211201,15,8,不明
20211201,15,9,不明
20211201,15,10,不明
20211201,15,11,不明
20211201,15,12,不明
20211208,9,1,不明
20211208,9,2,不明
20211208,9,3,不明
20211208,9,4,不明
20211208,9,5,不明
20211208,9,6,不明
20211208,9,7,不明
20211208,9,8,不明
20211208,9,9,不明
20211208,9,10,不明
20211208,9,11,不明
20211208,9,12,不明
20211217,14,12,不明
20211217,22,4,不明
20211217,22,5,不明
20211217,22,6,不明
20211217,22,7,不明
20211217,22,8,不明
20211217,22,9,不明
20211217,22,10,不明
20211217,22,11,不明
20211217,22,12,不明
20211225,14,8,不明
20211225,14,9,不明
20211225,14,10,不明
20211225,14,11,不明
20211225,14,12,不明
20211225,15,4,不明
20211225,15,5,不明
20211225,15,6,不明
20211225,15,7,不明
20211225,15,8,不明
20211225,15,9,不明
20211225,15,10,不明
20211225,15,11,不明
20211225,15,12,不明
20211226,10,10,不明
20211226,10,11,不明
20211226,10,12,不明
20211226,14,1,不明
20211226,14,2,不明
20211226,14,3,不明
20211226,14,4,不明
20211226,14,5,不明
20211226,14,6,不明
20211226,14,7,不明
20211226,14,8,不明
20211226,14,9,不明
20211226,14,10,不明
20211226,14,11,不明
20211226,14,12,不明
20211226,15,1,不明
20211226,15,2,不明
20211226,15,3,不明
20211226,15,4,不明
20211226,15,5,不明
20211226,15,6,不明
20211226,15,7,不明
20211226,15,8,不明
20211226,15,9,不明
20211226,15,10,不明
20211226,15,11,不明
20211226,15,12,不明
20211230,9,8,不明
20211230,9,9,不明
20211230,9,10,不明
20211230,9,11,不明
20211230,9,12,不明
20211230,15,7,不明
20211230,15,8,不明
20211230,15,9,不明
20211230,15,10,不明
20211230,15,11,不明
20211230,15,12,不明
20211231,9,1,不明
20211231,9,2,不明
20211231,9,3,不明
20211231,9,4,不明
20211231,9,5,不明
20211231,9,6,不明
20211231,9,7,不明
20211231,9,8,不明
20211231,9,9,不明
20211231,9,10,不明
20211231,9,11,不明
20211231,9,12,不明
20211231,14,1,不明
20211231,14,2,不明
20211231,14,3,不明
20211231,14,4,不明
20211231,14,5,不明
20211231,14,6,不明
20211231,14,7,不明
20211231,14,8,不明
20211231,14,9,不明
20211231,14,10,不明
20211231,14,11,不明
20211231,14,12,不明
20211231,15,1,不明
20211231,15,2,不明
20211231,15,3,不明
20211231,15,4,不明
20211231,15,5,不明
20211231,15,6,不明
20211231,15,7,不明
20211231,15,8,不明
20211231,15,9,不明
20211231,15,10,不明
20211231,15,11,不明
20211231,15,12,不明
20220104,3,10,不明
20220104,3,11,不明
20220104,3,12,不明
20220104,9,4,不明
20220104,9,5,不明
20220104,9,6,不明
20220104,9,7,不明
20220104,9,8,不明
20220104,9,9,不明
20220104,9,10,不明
20220104,9,11,不明
20220104,9,12,不明
20220106,3,10,不明
20220106,3,11,不明
20220106,3,12,不明
20220106,4,10,不明
20220106,4,11,不明
20220106,4,12,不明
20220111,15,4,不明
20220111,15,5,不明
20220111,15,6,不明
20220111,15,7,不明
20220111,15,8,不明
20220111,15,9,不明
20220111,15,10,不明
20220111,15,11,不明
20220111,15,12,不明
20220111,21,9,不明
20220111,21,10,不明
20220111,21,11,不明
20220111,21,12,不明
20220112,6,9,不明
20220112,6,10,不明
20220112,6,11,不明
20220112,6,12,不明
20220113,14,8,不明
20220113,14,9,不明
20220113,14,10,不明
20220113,14,11,不明
20220113,14,12,不明
20220113,15,1,不明
20220113,15,2,不明
20220113,15,3,不明
20220113,15,4,不明
20220113,15,5,不明
20220113,15,6,不明
20220113,15,7,不明
20220113,15,8,不明
20220113,15,9,不明
20220113,15,10,不明
20220113,15,11,不明
20220113,15,12,不明
20220114,1,1,不明
20220114,1,2,不明
20220114,1,3,不明
20220114,1,4,不明
20220114,1,5,不明
20220114,1,6,不明
20220114,1,7,不明
20220114,1,8,不明
20220114,1,9,不明
20220114,1,10,不明
20220114,1,11,不明
20220114,1,12,不明
20220114,3,1,不明
20220114,3,2,不明
20220114,3,3,不明
20220114,3,4,不明
20220114,3,5,不明
20220114,3,6,不明
20220114,3,7,不明
20220114,3,8,不明
20220114,3,9,不明
20220114,3,10,不明
20220114,3,11,不明
20220114,3,12,不明
20220114,9,1,不明
20220114,9,2,不明
20220114,9,3,不明
20220114,9,4,不明
20220114,9,5,不明
20220114,9,6,不明
20220114,9,7,不明
20220114,9,8,不明
20220114,9,9,不明
20220114,9,10,不明
20220114,9,11,不明
20220114,9,12,不明
20220118,9,1,不明
20220118,9,2,不明
20220118,9,3,不明
20220118,9,4,不明
20220118,9,5,不明
20220118,9,6,不明
20220118,9,7,不明
20220118,9,8,不明
20220118,9,9,不明
20220118,9,10,不明
20220118,9,11,不明
20220118,9,12,不明
20220120,10,6,不明
20220120,10,7,不明
20220120,10,8,不明
20220120,10,9,不明
20220120,10,10,不明
20220120,10,11,不明
20220120,10,12,不明
20220120,14,1,不明
20220120,14,2,不明
20220120,14,3,不明
20220120,14,4,不明
20220120,14,5,不明
20220120,14,6,不明
20220120,14,7,不明
20220120,14,8,不明
20220120,14,9,不明
20220120,14,10,不明
20220120,14,11,不明
20220120,14,12,不明
20220121,9,1,不明
20220121,9,2,不明
20220121,9,3,不明
20220121,9,4,不明
20220121,9,5,不明
20220121,9,6,不明
20220121,9,7,不明
20220121,9,8,不明
20220121,9,9,不明
20220121,9,10,不明
20220121,9,11,不明
20220121,9,12,不明
20220122,6,1,不明
20220122,6,2,不明
20220122,6,3,不明
20220122,6,4,不明
20220122,6,5,不明
20220122,6,6,不明
20220122,6,7,不明
20220122,6,8,不明
20220122,6,9,不明
20220122,6,10,不明
20220122,6,11,不明
20220122,6,12,不明
20220124,15,1,不明
20220124,15,2,不明
20220124,15,3,不明
20220124,15,4,不明
20220124,15,5,不明
20220124,15,6,不明
20220124,15,7,不明
20220124,15,8,不明
20220124,15,9,不明
20220124,15,10,不明
20220124,15,11,不明
20220124,15,12,不明
20220126,13,1,不明
20220126,13,2,不明
20220126,13,3,不明
20220126,13,4,不明
20220126,13,5,不明
20220126,13,6,不明
20220126,13,7,不明
20220126,13,8,不明
20220126,13,9,不明
20220126,13,10,不明
20220126,13,11,不明
20220126,13,12,不明
20220201,16,1,不明
20220201,16,2,不明
20220201,16,3,不明
20220201,16,4,不明
20220201,16,5,不明
20220201,16,6,不明
20220201,16,7,不明
20220201,16,8,不明
20220201,16,9,不明
20220201,16,10,不明
20220201,16,11,不明
20220201,16,12,不明
20220202,16,1,不明
20220202,16,2,不明
20220202,16,3,不明
20220202,16,4,不明
20220202,16,5,不明
20220202,16,6,不明
20220202,16,7,不明
20220202,16,8,不明
20220202,16,9,不明
20220202,16,10,不明
20220202,16,11,不明
20220202,16,12,不明
20220205,14,1,不明
20220205,14,2,不明
20220205,14,3,不明
20220205,14,4,不明
20220205,14,5,不明
20220205,14,6,不明
20220205,14,7,不明
20220205,14,8,不明
20220205,14,9,不明
20220205,14,10,不明
20220205,14,11,不明
20220205,14,12,不明
20220205,15,1,不明
20220205,15,2,不明
20220205,15,3,不明
20220205,15,4,不明
20220205,15,5,不明
20220205,15,6,不明
20220205,15,7,不明
20220205,15,8,不明
20220205,15,9,不明
20220205,15,10,不明
20220205,15,11,不明
20220205,15,12,不明
20220210,1,7,不明
20220210,1,8,不明
20220210,1,9,不明
20220210,1,10,不明
20220210,1,11,不明
20220210,1,12,不明
20220217,9,1,不明
20220217,9,2,不明
20220217,9,3,不明
20220217,9,4,不明
20220217,9,5,不明
20220217,9,6,不明
20220217,9,7,不明
20220217,9,8,不明
20220217,9,9,不明
20220217,9,10,不明
20220217,9,11,不明
20220217,9,12,不明
20220220,9,1,不明
20220220,9,2,不明
20220220,9,3,不明
20220220,9,4,不明
20220220,9,5,不明
20220220,9,6,不明
20220220,9,7,不明
20220220,9,8,不明
20220220,9,9,不明
20220220,9,10,不明
20220220,9,11,不明
20220220,9,12,不明
20220220,14,1,不明
20220220,14,2,不明
20220220,14,3,不明
20220220,14,4,不明
20220220,14,5,不明
20220220,14,6,不明
20220220,14,7,不明
20220220,14,8,不明
20220220,14,9,不明
20220220,14,10,不明
20220220,14,11,不明
20220220,14,12,不明
20220220,15,1,不明
20220220,15,2,不明
20220220,15,3,不明
20220220,15,4,不明
20220220,15,5,不明
20220220,15,6,不明
20220220,15,7,不明
20220220,15,8,不明
20220220,15,9,不明
20220220,15,10,不明
20220220,15,11,不明
20220220,15,12,不明
20220222,9,1,不明
20220222,9,2,不明
20220222,9,3,不明
20220222,9,4,不明
20220222,9,5,不明
20220222,9,6,不明
20220222,9,7,不明
20220222,9,8,不明
20220222,9,9,不明
20220222,9,10,不明
20220222,9,11,不明
20220222,9,12,不明
20220227,9,1,不明
20220227,9,2,不明
20220227,9,3,不明
20220227,9,4,不明
20220227,9,5,不明
20220227,9,6,不明
20220227,9,7,不明
20220227,9,8,不明
20220227,9,9,不明
20220227,9,10,不明
20220227,9,11,不明
20220227,9,12,不明
20220303,1,3,不明
20220303,1,4,不明
20220303,1,5,不明
20220303,1,6,不明
20220303,1,7,不明
20220303,1,8,不明
20220303,1,9,不明
20220303,1,10,不明
20220303,1,11,不明
20220303,1,12,不明
20220306,9,1,不明
20220306,9,2,不明
20220306,9,3,不明
20220306,9,4,不明
20220306,9,5,不明
20220306,9,6,不明
20220306,9,7,不明
20220306,9,8,不明
20220306,9,9,不明
20220306,9,10,不明
20220306,9,11,不明
20220306,9,12,不明
20220315,1,7,不明
20220315,1,8,不明
20220315,1,9,不明
20220315,1,10,不明
20220315,1,11,不明
20220315,1,12,不明
20220318,3,12,不明
20220322,5,4,不明
20220322,5,5,不明
20220322,5,6,不明
20220322,5,7,不明
20220322,5,8,不明
20220322,5,9,不明
20220322,5,10,不明
20220322,5,11,不明
20220322,5,12,不明
20220326,3,1,不明
20220326,3,2,不明
20220326,3,3,不明
20220326,3,4,不明
20220326,3,5,不明
20220326,3,6,不明
20220326,3,7,不明
20220326,3,8,不明
20220326,3,9,不明
20220326,3,10,不明
20220326,3,11,不明
20220326,3,12,不明
20220326,10,1,不明
20220326,10,2,不明
20220326,10,3,不明
20220326,10,4,不明
20220326,10,5,不明
20220326,10,6,不明
20220326,10,7,不明
20220326,10,8,不明
20220326,10,9,不明
20220326,10,10,不明
20220326,10,11,不明
20220326,10,12,不明
20220401,9,7,不明
20220401,9,8,不明
20220401,9,9,不明
20220401,9,10,不明
20220401,9,11,不明
20220401,9,12,不明
20220412,3,12,不明
20220426,12,12,不明
20220429,12,1,不明
20220429,12,2,不明
20220429,12,3,不明
20220429,12,4,不明
20220429,12,5,不明
20220429,12,6,不明
20220429,12,7,不明
20220429,12,8,不明
20220429,12,9,不明
20220429,12,10,不明
20220429,12,11,不明
20220429,12,12,不明
20220429,16,9,不明
20220429,16,10,不明
20220429,16,11,不明
20220429,16,12,不明
20220429,22,1,不明
20220429,22,2,不明
20220429,22,3,不明
20220429,22,4,不明
20220429,22,5,不明
20220429,22,6,不明
20220429,22,7,不明
20220429,22,8,不明
20220429,22,9,不明
20220429,22,10,不明
20220429,22,11,不明
20220429,22,12,不明
20220429,23,4,不明
20220429,23,5,不明
20220429,23,6,不明
20220429,23,7,不明
20220429,23,8,不明
20220429,23,9,不明
20220429,23,10,不明
20220429,23,11,不明
20220429,23,12,不明
20220525,3,11,不明
20220525,3,12,不明
20220527,20,1,不明
20220527,20,2,不明
20220527,20,3,不明
20220527,20,4,不明
20220527,20,5,不明
20220527,20,6,不明
20220527,20,7,不明
20220527,20,8,不明
20220527,20,9,不明
20220527,20,10,不明
20220527,20,11,不明
20220527,20,12,不明
20220601,16,1,不明
20220601,16,2,不明
20220601,16,3,不明
20220601,16,4,不明
20220601,16,5,不明
20220601,16,6,不明
20220601,16,7,不明
20220601,16,8,不明
20220601,16,9,不明
20220601,16,10,不明
20220601,16,11,不明
20220601,16,12,不明
20220601,18,1,11
20220601,18,2,11
20220601,18,3,3
20220601,18,4,11
20220601,18,5,9
20220601,18,6,9
20220601,18,7,9
20220601,18,8,7
20220601,18,9,9
20220601,18,10,7
20220601,18,11,9
20220601,18,12,5
20220601,19,1,9
20220601,19,2,9
20220601,19,3,7
20220601,19,4,7
20220601,19,5,7
20220601,19,6,5
20220601,19,7,5
20220601,19,8,5
20220601,19,9,5
20220601,19,10,5
20220601,19,11,5
20220601,19,12,5
20220601,21,1,1
20220601,21,2,1
20220601,21,3,1
20220601,21,4,1
20220601,21,5,1
20220601,21,6,1
20220601,21,7,1
20220601,21,8,13
20220601,21,9,13
20220601,21,10,13
20220601,21,11,13
20220601,21,12,13
20220601,24,1,1
20220601,24,2,3
20220601,24,3,1
20220601,24,4,3
20220601,24,5,3
20220601,24,6,3
20220601,24,7,3
20220601,24,8,3
20220601,24,9,3
20220601,24,10,3
20220601,24,11,5
20220601,24,12,7
20220619,3,7,不明
20220619,3,8,不明
20220619,3,9,不明
20220619,3,10,不明
20220619,3,11,不明
20220619,3,12,不明
20220620,3,1,不明
20220620,3,2,不明
20220620,3,3,不明
20220620,3,4,不明
20220620,3,5,不明
20220620,3,6,不明
20220620,3,7,不明
20220620,3,8,不明
20220620,3,9,不明
20220620,3,10,不明
20220620,3,11,不明
20220620,3,12,不明
20220624,3,7,不明
20220624,3,8,不明
20220624,3,9,不明
20220624,3,10,不明
20220624,3,11,不明
20220624,3,12,不明
20220625,3,12,不明
20220721,20,3,不明
20220721,20,4,不明
20220721,20,5,不明
20220721,20,6,不明
20220721,20,7,不明
20220721,20,8,不明
20220721,20,9,不明
20220721,20,10,不明
20220721,20,11,不明
20220721,20,12,不明
20220806,10,1,不明
20220806,10,2,不明
20220806,10,3,不明
20220806,10,4,不明
20220806,10,5,不明
20220806,10,6,不明
20220806,10,7,不明
20220806,10,8,不明
20220806,10,9,不明
20220806,10,10,不明
20220806,10,11,不明
20220806,10,12,不明
20220807,10,1,不明
20220807,10,2,不明
20220807,10,3,不明
20220807,10,4,不明
20220807,10,5,不明
20220807,10,6,不明
20220807,10,7,不明
20220807,10,8,不明
20220807,10,9,不明
20220807,10,10,不明
20220807,10,11,不明
20220807,10,12,不明
20220808,3,11,不明
20220808,3,12,不明
20220808,10,1,不明
20220808,10,2,不明
20220808,10,3,不明
20220808,10,4,不明
20220808,10,5,不明
20220808,10,6,不明
20220808,10,7,不明
20220808,10,8,不明
20220808,10,9,不明
20220808,10,10,不明
20220808,10,11,不明
20220808,10,12,不明
20220808,20,5,不明
20220808,20,6,不明
20220808,20,7,不明
20220808,20,8,不明
20220808,20,9,不明
20220808,20,10,不明
20220808,20,11,不明
20220808,20,12,不明
20220809,3,10,不明
20220809,3,11,不明
20220809,3,12,不明
20220809,10,1,不明
20220809,10,2,不明
20220809,10,3,不明
20220809,10,4,不明
20220809,10,5,不明
20220809,10,6,不明
20220809,10,7,不明
20220809,10,8,不明
20220809,10,9,不明
20220809,10,10,不明
20220809,10,11,不明
20220809,10,12,不明
20220810,3,1,不明
20220810,3,2,不明
20220810,3,3,不明
20220810,3,4,不明
20220810,3,5,不明
20220810,3,6,不明
20220810,3,7,不明
20220810,3,8,不明
20220810,3,9,不明
20220810,3,10,不明
20220810,3,11,不明
20220810,3,12,不明
20220812,3,1,不明
20220812,3,2,不明
20220812,3,3,不明
20220812,3,4,不明
20220812,3,5,不明
20220812,3,6,不明
20220812,3,7,不明
20220812,3,8,不明
20220812,3,9,不明
20220812,3,10,不明
20220812,3,11,不明
20220812,3,12,不明
20220813,3,1,不明
20220813,3,2,不明
20220813,3,3,不明
20220813,3,4,不明
20220813,3,5,不明
20220813,3,6,不明
20220813,3,7,不明
20220813,3,8,不明
20220813,3,9,不明
20220813,3,10,不明
20220813,3,11,不明
20220813,3,12,不明
20220813,6,4,不明
20220813,6,5,不明
20220813,6,6,不明
20220813,6,7,不明
20220813,6,8,不明
20220813,6,9,不明
20220813,6,10,不明
20220813,6,11,不明
20220813,6,12,不明
20220905,24,1,不明
20220905,24,2,不明
20220905,24,3,不明
20220905,24,4,不明
20220905,24,5,不明
20220905,24,6,不明
20220905,24,7,不明
20220905,24,8,不明
20220905,24,9,不明
20220905,24,10,不明
20220905,24,11,不明
20220905,24,12,不明
20220906,3,11,不明
20220906,3,12,不明
20220906,17,1,不明
20220906,17,2,不明
20220906,17,3,不明
20220906,17,4,不明
20220906,17,5,不明
20220906,17,6,不明
20220906,17,7,不明
20220906,17,8,不明
20220906,17,9,不明
20220906,17,10,不明
20220906,17,11,不明
20220906,17,12,不明
20220906,18,1,不明
20220906,18,2,不明
20220906,18,3,不明
20220906,18,4,不明
20220906,18,5,不明
20220906,18,6,不明
20220906,18,7,不明
20220906,18,8,不明
20220906,18,9,不明
20220906,18,10,不明
20220906,18,11,不明
20220906,18,12,不明
20220906,23,1,不明
20220906,23,2,不明
20220906,23,3,不明
20220906,23,4,不明
20220906,23,5,不明
20220906,23,6,不明
20220906,23,7,不明
20220906,23,8,不明
20220906,23,9,不明
20220906,23,10,不明
20220906,23,11,不明
20220906,23,12,不明
20220918,16,7,不明
20220918,16,8,不明
20220918,16,9,不明
20220918,16,10,不明
20220918,16,11,不明
20220918,16,12,不明
20220918,20,1,不明
20220918,20,2,不明
20220918,20,3,不明
20220918,20,4,不明
20220918,20,5,不明
20220918,20,6,不明
20220918,20,7,不明
20220918,20,8,不明
